145	1056	27083
95	0	1
121	0	1
54	0	1
113	0	1
115	0	1
21	0	1
116	0	1
112	0	1
138	0	1
13	0	1
118	0	1
130	0	1
142	0	1
106	0	1
51	0	-1
75	0	-1
10	0	-1
42	0	-1
4	0	-1
31	0	-1
115	1	1
4	1	1
12	1	1
31	1	1
95	1	-1
51	1	-1
121	1	-1
54	1	-1
113	1	-1
21	1	-1
116	1	-1
112	1	-1
138	1	-1
13	1	-1
107	1	-1
42	1	-1
118	1	-1
142	1	-1
54	2	1
75	2	1
116	2	1
107	2	1
42	2	1
12	2	1
95	2	-1
51	2	-1
121	2	-1
113	2	-1
115	2	-1
112	2	-1
138	2	-1
13	2	-1
118	2	-1
130	2	-1
142	2	-1
31	2	-1
75	3	1
42	3	1
95	3	-1
121	3	-1
54	3	-1
113	3	-1
115	3	-1
116	3	-1
112	3	-1
138	3	-1
13	3	-1
107	3	-1
118	3	-1
130	3	-1
142	3	-1
31	3	-1
51	4	1
75	4	1
116	4	1
112	4	1
42	4	1
31	4	1
121	4	-1
54	4	-1
113	4	-1
115	4	-1
13	4	-1
107	4	-1
130	4	-1
142	4	-1
12	4	-1
95	5	1
51	5	1
54	5	1
113	5	1
116	5	1
112	5	1
138	5	1
13	5	1
107	5	1
42	5	1
118	5	1
142	5	1
121	5	-1
115	5	-1
130	5	-1
12	5	-1
31	5	-1
95	6	1
54	6	1
75	6	1
116	6	1
112	6	1
42	6	1
130	6	1
12	6	1
121	6	-1
113	6	-1
138	6	-1
13	6	-1
107	6	-1
118	6	-1
142	6	-1
31	6	-1
51	7	1
121	7	1
116	7	1
138	7	1
107	7	1
118	7	1
130	7	1
142	7	1
12	7	1
95	7	-1
54	7	-1
113	7	-1
75	7	-1
112	7	-1
13	7	-1
42	7	-1
4	7	-1
31	7	-1
95	8	1
51	8	1
121	8	1
75	8	1
116	8	1
112	8	1
138	8	1
42	8	1
54	8	-1
113	8	-1
13	8	-1
107	8	-1
4	8	-1
118	8	-1
130	8	-1
142	8	-1
12	8	-1
31	8	-1
95	9	1
51	9	1
54	9	1
113	9	1
75	9	1
116	9	1
42	9	1
118	9	1
130	9	1
142	9	1
31	9	1
121	9	-1
112	9	-1
138	9	-1
13	9	-1
107	9	-1
4	9	-1
12	9	-1
95	10	1
54	10	1
113	10	1
107	10	1
118	10	1
130	10	1
142	10	1
12	10	1
31	10	1
51	10	-1
121	10	-1
75	10	-1
116	10	-1
112	10	-1
138	10	-1
13	10	-1
42	10	-1
4	10	-1
21	11	1
75	11	1
116	11	1
138	11	1
13	11	1
10	11	1
42	11	1
4	11	1
31	11	1
95	11	-1
121	11	-1
54	11	-1
115	11	-1
112	11	-1
118	11	-1
130	11	-1
142	11	-1
106	11	-1
51	12	1
121	12	1
75	12	1
116	12	1
112	12	1
42	12	1
4	12	1
95	12	-1
54	12	-1
113	12	-1
138	12	-1
13	12	-1
107	12	-1
118	12	-1
130	12	-1
142	12	-1
12	12	-1
31	12	-1
95	13	1
54	13	1
113	13	1
13	13	1
107	13	1
118	13	1
130	13	1
142	13	1
12	13	1
31	13	1
51	13	-1
121	13	-1
75	13	-1
116	13	-1
112	13	-1
138	13	-1
42	13	-1
95	14	1
121	14	1
54	14	1
113	14	1
115	14	1
112	14	1
118	14	1
130	14	1
142	14	1
106	14	1
21	14	-1
75	14	-1
116	14	-1
138	14	-1
13	14	-1
10	14	-1
42	14	-1
4	14	-1
31	14	-1
51	15	1
21	15	1
75	15	1
116	15	1
138	15	1
13	15	1
10	15	1
42	15	1
31	15	1
121	15	-1
54	15	-1
113	15	-1
115	15	-1
112	15	-1
107	15	-1
118	15	-1
142	15	-1
12	15	-1
106	15	-1
51	16	1
21	16	1
75	16	1
116	16	1
138	16	1
13	16	1
10	16	1
31	16	1
121	16	-1
54	16	-1
113	16	-1
115	16	-1
112	16	-1
107	16	-1
118	16	-1
142	16	-1
12	16	-1
106	16	-1
121	17	1
54	17	1
113	17	1
115	17	1
112	17	1
13	17	1
107	17	1
10	17	1
142	17	1
12	17	1
106	17	1
31	17	1
51	17	-1
21	17	-1
116	17	-1
138	17	-1
42	17	-1
4	17	-1
118	17	-1
95	18	1
121	18	1
113	18	1
115	18	1
112	18	1
107	18	1
118	18	1
130	18	1
142	18	1
12	18	1
51	18	-1
54	18	-1
21	18	-1
116	18	-1
138	18	-1
13	18	-1
10	18	-1
42	18	-1
4	18	-1
31	18	-1
95	19	1
51	19	1
54	19	1
113	19	1
21	19	1
116	19	1
112	19	1
138	19	1
13	19	1
107	19	1
42	19	1
118	19	1
142	19	1
121	19	-1
115	19	-1
4	19	-1
130	19	-1
12	19	-1
31	19	-1
113	20	1
115	20	1
13	20	1
4	20	1
12	20	1
31	20	1
95	20	-1
51	20	-1
121	20	-1
54	20	-1
21	20	-1
116	20	-1
112	20	-1
138	20	-1
107	20	-1
42	20	-1
118	20	-1
130	20	-1
142	20	-1
51	21	1
54	21	1
